district,nwp_rainfall,nwp_rain_log1p,nwp_is_rain,nwp_is_heavy,u850,v850,wind_speed_850,wind_dir_850,u200,v200,wind_speed_200,vertical_wind_shear,mslp,tcwv,rh700,cape,convective_index,orographic_flux_idx,offshore_trough_idx,vorticity_proxy,monsoon_trough_lat,latitude,longitude,moisture_flux_index,prob_active_monsoon,prob_break_monsoon,prob_monsoon_low_depression,prob_coastal_rainfall,prob_orographic_rainfall,prob_western_disturbance,observed_rainfall
Bengaluru Urban,11.51,2.5265,1,0,4.89,9.18,10.4,61.96,-4.22,-6.4,7.67,18.05,984.57,21.89,77.91,429.48,6.14,23.89,2.99,4.6,21.43,12.9716,77.5946,7.59,0.007933,0.021313,0.077973,0.113773,0.547727,0.231282,16.41
Mysuru,28.72,3.3918,1,0,16.7,17.02,23.84,45.54,6.96,-15.18,16.7,33.64,1017.35,20.8,55.59,817.82,11.68,0.46,-0.13,-1.71,27.79,12.2958,76.6394,16.53,0.215215,0.114402,0.21151,0.322185,0.026346,0.110342,23.98
Mangaluru,30.25,3.442,1,0,3.24,2.74,4.24,40.22,20.95,-24.82,32.48,32.76,1010.67,64.45,78.04,516.42,7.38,4.89,0.0,11.93,28.34,12.9141,74.856,9.11,0.389333,0.102946,0.180351,0.188395,0.043353,0.095622,31.44
Belagavi,11.05,2.4891,1,0,-4.91,18.29,18.94,105.03,2.79,12.35,12.66,9.72,1008.07,39.25,72.4,3544.26,50.63,0.19,5.04,1.19,28.16,15.8497,74.4977,24.78,0.123811,0.008071,0.007445,0.541777,0.096963,0.221933,0.0
Hubballi-Dharwad,91.3,4.525,1,1,1.14,-11.8,11.85,275.52,12.31,1.1,12.36,17.06,1016.79,37.29,86.79,818.83,11.7,16.19,9.91,-2.7,29.03,15.3647,75.124,14.73,0.04465,0.355432,0.037767,0.070653,0.259383,0.232115,79.2
Kalaburagi,35.14,3.5874,1,0,9.96,-15.03,18.03,303.53,40.13,-19.35,44.55,30.48,1024.99,50.58,46.42,386.01,5.51,22.45,4.93,-4.91,21.03,17.3297,76.8343,30.4,0.061866,0.487536,0.18412,0.198186,0.043044,0.025248,33.74
Shivamogga,7.98,2.195,1,0,-1.76,1.44,2.27,140.71,8.46,-19.43,21.19,23.24,1017.17,29.82,85.66,857.88,12.26,6.09,3.37,-2.42,27.06,13.9299,75.5681,2.26,0.236982,0.124904,0.104536,0.238035,0.264039,0.031505,1.38
Tumakuru,44.8,3.8243,1,0,-4.87,5.84,7.6,129.82,36.71,-5.04,37.05,42.98,982.91,62.75,72.48,723.04,10.33,23.18,5.96,-3.11,23.53,13.3379,77.1173,15.9,0.139409,0.021519,0.205938,0.158306,0.464256,0.010572,50.69
Ballari,50.95,3.9503,1,0,7.92,1.67,8.09,11.91,-2.59,25.04,25.17,25.62,989.65,55.39,97.78,444.56,6.35,1.51,1.98,1.36,28.1,15.1394,76.9214,14.94,0.016177,0.091294,0.083548,0.078109,0.651823,0.079049,51.65
Vijayapura,33.43,3.5389,1,0,7.94,-18.67,20.29,293.04,30.6,-3.89,30.85,27.05,997.5,24.02,60.51,1648.51,23.55,23.36,-4.1,1.28,26.74,16.8302,75.71,16.25,0.069376,0.311401,0.130576,0.327724,0.014777,0.146146,18.1
