Threshold_mm,Hits,False_Alarms,Misses,Correct_Negatives,POD,FAR,CSI,ETS,Frequency_Bias,HK_Score,Model
2.5,1040,263,106,55,0.9075,0.2018,0.7381,0.0515,1.137,0.0805,Raw_NWP
2.5,989,162,157,156,0.863,0.1407,0.7561,0.2162,1.0044,0.3536,Level1_Quantile_Mapping
2.5,1048,47,98,271,0.9145,0.0429,0.8785,0.5683,0.9555,0.7667,Level2_Standard_ML
2.5,1079,46,67,272,0.9415,0.0409,0.9052,0.6371,0.9817,0.7969,VARUNA_AI_Level3_Regime_Aware
15.6,607,40,69,748,0.8979,0.0618,0.8478,0.7388,0.9571,0.8472,Raw_NWP
15.6,612,44,64,744,0.9053,0.0671,0.85,0.7411,0.9704,0.8495,Level1_Quantile_Mapping
15.6,599,24,77,764,0.8861,0.0385,0.8557,0.7551,0.9216,0.8556,Level2_Standard_ML
15.6,600,25,76,763,0.8876,0.04,0.8559,0.7551,0.9246,0.8558,VARUNA_AI_Level3_Regime_Aware
64.5,111,1,81,1271,0.5781,0.0089,0.5751,0.5401,0.5833,0.5773,Raw_NWP
64.5,156,33,36,1239,0.8125,0.1746,0.6933,0.6554,0.9844,0.7866,Level1_Quantile_Mapping
64.5,156,31,36,1241,0.8125,0.1658,0.6996,0.6624,0.974,0.7881,Level2_Standard_ML
64.5,154,30,38,1242,0.8021,0.163,0.6937,0.6563,0.9583,0.7785,VARUNA_AI_Level3_Regime_Aware
115.6,27,0,45,1392,0.375,0.0,0.375,0.3633,0.375,0.375,Raw_NWP
115.6,61,4,11,1388,0.8472,0.0615,0.8026,0.794,0.9028,0.8443,Level1_Quantile_Mapping
115.6,61,3,11,1389,0.8472,0.0469,0.8133,0.8052,0.8889,0.8451,Level2_Standard_ML
115.6,62,4,10,1388,0.8611,0.0606,0.8158,0.8076,0.9167,0.8582,VARUNA_AI_Level3_Regime_Aware
204.5,4,0,10,1450,0.2857,0.0,0.2857,0.2838,0.2857,0.2857,Raw_NWP
204.5,14,2,0,1448,1.0,0.125,0.875,0.8738,1.1429,0.9986,Level1_Quantile_Mapping
204.5,11,0,3,1450,0.7857,0.0,0.7857,0.7841,0.7857,0.7857,Level2_Standard_ML
204.5,11,0,3,1450,0.7857,0.0,0.7857,0.7841,0.7857,0.7857,VARUNA_AI_Level3_Regime_Aware
